35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
0.007809999865;785.3961182;0.005104999989;561.862915;300;2.811449528;300;-0.09836880118
0.01281999983;713.9991455;0.01512499992;556.1763916;301.0700073;3.242103577;302;0.1981460154
0.01782999933;678.8105469;0.02514499985;549.6099854;302;3.369723797;304;0.3686590195
0.02284000069;632.6836548;0.03516500071;544.5912476;303.0700073;3.878913879;306;0.6183781624
0.02785000019;627.2337646;0.0451849997;540.8132935;304;4.44969511;308;0.3023917973
0.03285999969;599.711792;0.0552049987;536.6424561;305.0700073;5.201020241;310;1.428945184
0.03787000105;582.7698975;0.0652249977;532.9596558;306;5.705516815;312.0299988;1.441511393
0.04287999868;572.8603516;0.07524500042;529.173645;307.0700073;7.279732227;314.0599976;2.561830997
0.04789000005;558.8030396;0.08526499569;525.5715942;308;8.147712708;315.9299927;3.256477594
0.05290000141;534.243042;0.09528499842;521.6594238;309.0700073;10.26144123;317.9599915;4.086092949
0.05790999904;533.8363037;0.1053050011;518.3641357;310;13.62975502;320;5.818273067
0.06291999668;532.6651001;0.1153249964;516.6312256;310.9299927;23.18041801;322;7.196560383
0.06792999804;527.0966797;0.1253449917;513.3395386;312.0299988;40.82364273;324;8.444964409
0.0729399994;511.3197632;0.1353649944;509.5979004;312.9599915;56.67141724;326;8.948505402
0.07795000076;504.4497681;0.1453849971;506.0786743;314.0599976;68.13356781;328;8.782361031
0.08296000212;509.0205688;0.1554049999;503.2914429;315;73.72611237;330;9.021653175
0.08796999604;491.625061;0.1654250026;501.7184143;315.9299927;89.85791779;332;9.115704536
0.0929799974;495.2628784;0.1754450053;498.7748108;317.0299988;116.5903091;334;8.98678112
0.09798999876;485.3937073;0.1854649931;495.8765564;317.9599915;135.7863159;336;8.956090927
0.1030000001;473.5519104;0.1954849958;492.4101563;319.0599976;144.19487;338;9.389209747
0.1080100015;477.6607056;0.2055049986;489.1120605;320;163.6152344;340;8.121113777
